iter	Passed	Remaining
0	1	1078
1	1	928
2	2	863
3	3	842
4	4	832
5	4	797
6	6	854
7	7	890
8	8	885
9	8	871
10	9	856
11	10	845
12	11	840
13	11	832
14	12	827
15	14	870
16	14	861
17	15	861
18	16	849
19	17	858
20	18	856
21	19	847
22	20	850
23	21	869
24	22	865
25	23	862
26	23	855
27	24	848
28	25	840
29	25	835
30	26	828
31	27	829
32	28	836
33	29	830
34	29	826
35	30	818
36	31	816
37	32	812
38	32	808
39	33	802
40	34	800
41	35	810
42	36	808
43	37	805
44	37	801
45	38	797
46	39	794
47	39	791
48	40	789
49	41	786
50	42	793
51	43	791
52	44	789
53	45	788
54	45	785
55	46	785
56	47	782
57	48	780
58	48	779
59	50	789
60	51	787
61	51	784
62	52	783
63	53	780
64	54	785
65	55	784
66	56	782
67	57	791
68	58	789
69	59	786
70	59	784
71	60	784
72	65	834
73	66	832
74	67	827
75	67	826
76	68	826
77	69	824
78	70	821
79	71	820
80	72	822
81	73	819
82	73	816
83	74	812
84	75	807
85	75	805
86	76	803
87	80	833
88	81	833
89	82	834
90	83	831
91	84	832
92	86	847
93	87	844
94	88	842
95	89	839
96	89	837
97	90	837
98	91	834
99	92	832
100	94	842
101	95	840
102	96	839
103	98	850
104	99	850
105	100	847
106	101	846
107	102	846
108	104	851
109	104	849
110	105	844
111	105	839
112	106	834
113	106	829
114	107	824
115	107	821
116	109	827
117	110	826
118	111	823
119	111	819
120	112	814
121	112	809
122	112	805
123	113	800
124	113	796
125	114	795
126	115	795
127	116	795
128	117	792
129	117	788
130	118	784
131	118	780
132	118	775
133	119	771
134	119	767
135	120	763
136	120	759
137	120	755
138	121	751
139	121	747
140	122	745
141	124	749
142	124	748
143	125	745
144	125	741
145	126	738
146	126	734
147	126	731
148	127	727
149	127	724
150	128	720
151	128	717
152	128	713
153	132	728
154	133	727
155	134	725
156	134	722
157	135	720
158	135	718
159	136	715
160	136	712
161	137	711
162	139	713
163	139	712
164	140	710
165	141	709
166	141	707
167	142	704
168	142	701
169	143	698
170	143	695
171	143	692
172	144	690
173	146	693
174	146	691
175	147	688
176	147	686
177	147	683
178	148	680
179	148	677
180	149	675
181	149	672
182	150	669
183	150	667
184	151	666
185	152	667
186	153	666
187	153	664
188	154	662
189	154	659
190	155	657
191	155	654
