"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2011-01-01T00:00:00.000Z""","RUS"," Surgut Airport (SGC)","TUPOLEV TU154 B","RA-85588","Kolavia","RUS","RUS","Standing","Accident",3,true,true,true,"Fatal","T154",,true,3,"Jet",true,"[""F-NI""]","F-NI",2011
"""2011-01-01T00:00:00.000Z""","USA","Albert Lea","MBB BK117","N145SM","","","USA","Approach","Accident",0,true,false,"","None","BK17",true,false,2,"Turboprop","","[]","",2011
"""2011-01-01T00:00:00.000Z""","USA","Orange","CESSNA 310","N6725X","","","USA","Approach","Accident",1,true,false,"","Fatal","C310",false,true,2,"Piston","","[""USOS""]","RS",2011
"""2011-01-01T00:00:00.000Z""","USA","Torrance","","N322RV","","","USA","Landing","Accident",0,true,false,"","None","C320",false,true,2,"Piston","","[]","RS",2011
"""2011-01-02T00:00:00.000Z""","USA","Benton","PIPER PA28","N42997","","","USA","En route","Accident",0,false,false,"","Serious","PA47",false,true,1,"Jet","","[]","TURB",2011
"""2011-01-02T00:00:00.000Z""","USA","Carlisle","","N876KF","","","USA","Landing","Accident",0,true,false,"","None","P32T",false,true,1,"Piston","","[]","RS",2011
"""2011-01-02T00:00:00.000Z""","ZAF","Hazyview Aerodrome","BEECH G58","ZS-MRK","","","ZAF","Landing","Accident",0,true,false,"","None","BE58",false,true,2,"Piston","","[""RE""]","RS",2011
"""2011-01-02T00:00:00.000Z""","USA","Clovis","BELLANCA 1419 3","N8516R","","","USA","Landing","Accident",0,false,false,"","None","B14C",false,true,1,"Piston","","[]","RS",2011
"""2011-01-03T00:00:00.000Z""","DEU","","EUROCOPTER EC135","D-HDEC","","","DEU","Standing","Accident",0,true,false,"","None","EC35",true,false,2,"Turboprop","","[]","",2011
"""2011-01-03T00:00:00.000Z""","CAN"," Maple Creek Airport, SK","BEECH 200","C-GSAU","Saskatchewan Gvt.",,"CAN","Landing","Accident",0,true,true,false,"None","BE20",false,true,2,"Turboprop","","[]","RS",2011
"""2011-01-03T00:00:00.000Z""","USA","Walnut Grove","CESSNA T41","N1416F","United States ","","USA","En route","Accident",1,false,false,"","Fatal","C172",false,true,1,"Piston","","[]","LOC-I",2011
"""2011-01-03T00:00:00.000Z""","USA"," Los Angeles International Airport, CA (LAX)","BOEING 737","N831NN","American Airlines","USA","USA","Take-off","Accident",0,true,true,true,"None","B37M",,true,2,"Jet",true,"[""ARC""]","RS",2011
"""2011-01-03T00:00:00.000Z""","USA","New Stuyahok","BEECH 18","N9001","","","USA","Landing","Accident",0,true,false,false,"None","BE18",false,true,2,"Piston","","[""CTOL""]","OTH",2011
"""2011-01-03T00:00:00.000Z""","CHN","Kau Lung Hnag Lo Wai, Fan Ling","AEROSPATIALE SA315","B-HJV","","","HKG","Manoeuvring","Accident",0,true,false,"","Minor","LAMA",true,false,1,"Turboprop","","[""LALT""]","OTH",2011
"""2011-01-03T00:00:00.000Z""","BRA","Corupa","PIPER PA25","PT-DJS","Brazil ","","BRA","En route","Accident",1,false,false,"","Fatal","PA47",false,true,1,"Jet","","[]","LOC-I",2011
"""2011-01-04T00:00:00.000Z""","USA","Wickenburg","PIPER PA28","N443PA","","","USA","Taxi","Accident",0,true,false,"","None","PA47",false,true,1,"Jet","","[]","RS",2011
"""2011-01-04T00:00:00.000Z""","USA","Homedale","","N90TY","","","USA","Take-off","Accident",0,true,false,"","None","C17",false,true,4,"Jet","","[]","RS",2011
"""2011-01-04T00:00:00.000Z""","USA","Platinum","PIPER PA32","N9304K","","","USA","Unknown","Accident",0,false,false,"","Minor","PA47",false,true,1,"Jet","","[]","RS",2011
"""2011-01-05T00:00:00.000Z""","USA","Birmingham","BEECH G58","N48TS","","","USA","Approach","Accident",1,true,false,"","Fatal","BE58",false,true,2,"Piston","","[""UNK""]","UNK",2011
"""2011-01-05T00:00:00.000Z""","USA","Midlothian","LANCAIR LC41 550FG","N1393T","United States ","","USA","Take-off","Accident",2,false,false,"","Fatal","LNC4",false,true,1,"Piston","","[]","LOC-I",2011
"""2011-01-05T00:00:00.000Z""","BRA","SDLO, Cairu, State of Bahia","EMBRAER EMB820 C","PT-EHG","","","BRA","Landing","Accident",0,true,false,"","None","PA31",false,true,2,"Piston","","[""ARC""]","RS",2011
"""2011-01-05T00:00:00.000Z""","USA","Cambridge","","N456KL","","","USA","Approach","Accident",0,true,false,"","Minor","C320",false,true,2,"Piston","","[]","RS",2011
"""2011-01-06T00:00:00.000Z""","USA","Springfield","LEARJET 35","N800GP","Priester Aviation",,"USA","Landing","Accident",0,true,true,false,"Minor","LJ35",false,true,2,"Jet","","[]","RS",2011
"""2011-01-06T00:00:00.000Z""","USA","Thomaston","PIPER PA22","N5706D","","","USA","Take-off","Accident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","RS",2011
"""2011-01-06T00:00:00.000Z""","USA","Lancaster","PIPER PA28","N929TC","","","USA","Landing","Accident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","RS",2011
"""2011-01-06T00:00:00.000Z""","USA","Chester","BEECH 35","N5866S","United States ","","USA","Approach","Accident",2,false,false,"","Fatal","BE35",false,true,1,"Piston","","[]","CFIT",2011
"""2011-01-06T00:00:00.000Z""","USA","Kipnuk","CESSNA 208","N715HE","Hageland Aviation Services",,"USA","Landing","Accident",0,true,false,true,"None","C208",false,true,1,"Turboprop","","[]","RS",2011
"""2011-01-07T00:00:00.000Z""","SAU","","AEROSPATIALE SA365","HZ-MS16","","","SAU","En route","Accident",4,true,false,"","Fatal","ALO3",true,false,1,"Turboprop","","[]","",2011
"""2011-01-07T00:00:00.000Z""","AUS","Garden Point Aerodrome","CESSNA 404 NO SERIES EXISTS","VH-ANM","","","AUS","Landing","Accident",0,true,false,false,"None","C404",false,true,2,"Piston","","[""LOC-G""]","RS",2011
"""2011-01-07T00:00:00.000Z""","USA","Elko","MAULE M4","N799ZZ","","","USA","Landing","Accident",0,false,false,"","None","M4",false,true,1,"Piston","","[]","RS",2011
"""2011-01-07T00:00:00.000Z""","VEN","Cojedes","PARTENAVIA P68 C","YV1303","Venezuela ","","VEN","En route","Accident",5,true,false,"","Fatal","P68",false,true,2,"Piston","","[]","LOC-I",2011
"""2011-01-09T00:00:00.000Z""","USA","Palm Springs","","N595DY","","","USA","Approach","Accident",0,true,false,"","None","C441",false,true,2,"Turboprop","","[]","RS",2011
"""2011-01-09T00:00:00.000Z""","USA","Lopez","PIPER PA22","N5850D","","","USA","Take-off","Accident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","RS",2011
"""2011-01-09T00:00:00.000Z""","CHL","Santa Juana, Región del Biobío","AIR TRACTOR AT802","EC-IOE","Chile Faasa Chile Servicio Aéreos Ltda",,"ESP","Manoeuvring","Accident",1,true,true,"","Fatal","AT8T",false,true,1,"Turboprop","","[""LALT""]","OTH",2011
"""2011-01-09T00:00:00.000Z""","IRN","9.5 m from Orumiyeh a/p","BOEING 727 200","EP-IRP","Iran, Islamic Republic Of Iran National Airlines Corp. (Iran Air)","IRN","IRN","Approach","Accident",78,true,true,true,"Fatal","R721",,true,3,"Jet",true,"[""UNK"",""LOC-I""]","LOC-I",2011
"""2011-01-09T00:00:00.000Z""","USA","Westcliffe","PIPER PA46","N727MC","United States ","","USA","En route","Accident",2,false,false,"","Fatal","PA47",false,true,1,"Jet","","[]","LOC-I",2011
"""2011-01-09T00:00:00.000Z""","USA","Phoenix","PIPER PA46 500TP","N5365D","",,"USA","Landing","Accident",0,true,false,"","None","PA47",false,true,1,"Jet","","[""RE"",""LOC-G""]","RS",2011
"""2011-01-09T00:00:00.000Z""","USA","Lancaster","CESSNA 310","N1755H","",,"USA","Approach","Accident",0,true,false,"","None","C310",false,true,2,"Piston","","[""SCF-NP"",""USOS""]","RS",2011
"""2011-01-09T00:00:00.000Z""","DOM","","BELL 427","N926MF","","","USA","En route","Accident",0,true,false,"","None","B427",true,false,2,"Turboprop","","[]","",2011
"""2011-01-10T00:00:00.000Z""","USA","Oakley","ROCKWELL S2R","N4977X","","","USA","Manoeuvring","Accident",1,true,false,"","Fatal","SS2P",false,true,1,"Piston","","[""LALT""]","OTH",2011
"""2011-01-10T00:00:00.000Z""","USA","Warner Springs","RYAN PT22","N57027","","","USA","Landing","Accident",1,false,false,"","Fatal","PT22",false,true,1,"Piston","","[]","RS",2011
"""2011-01-10T00:00:00.000Z""","MYS","Kuching Apt","AIRBUS A320","9M-AHH","AirAsia","MYS","MYS","Landing","Accident",0,true,true,true,"None","A320",,true,2,"Jet",true,"[""RE""]","RS",2011
"""2011-01-10T00:00:00.000Z""","PRT","","AEROSPATIALE AS350 B2","CS-HFP","","","PRT","En route","Accident",0,true,false,"","None","AS50",true,false,1,"Turboprop","","[]","",2011
"""2011-01-11T00:00:00.000Z""","ITA","Guidonia Montecelio","AVIONS ROBIN DR400","I-ITAV","Italy ","","ITA","Take-off","Accident",1,false,false,"","Fatal","DR40",false,true,1,"Piston","","[]","LOC-I",2011
"""2011-01-12T00:00:00.000Z""","USA","Venice","BEECH 23","N3670Q","","","USA","En route","Accident",0,false,false,"","Serious","BE23",false,true,1,"Piston","","[]","TURB",2011
"""2011-01-12T00:00:00.000Z""","AUT","near LOWL FL200","AIRBUS A320","OE-LBQ","Austria Austrian Airlines AG","AUT","AUT","En route","Accident",0,true,true,true,"Serious","A320",,true,2,"Jet",true,"[""OTHR""]","OTH",2011
"""2011-01-12T00:00:00.000Z""","USA","Austin","PIPER PA18 150","N4030Z","","","USA","Take-off","Accident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","RS",2011
"""2011-01-13T00:00:00.000Z""","USA","Fullerton","CESSNA 180","N1630C","","","USA","Landing","Accident",0,false,false,"","None","C180",false,true,1,"Piston","","[]","RS",2011
"""2011-01-13T00:00:00.000Z""","USA","Spanish Fork","DIAMOND DA20 C1","N376DC","","","USA","Landing","Accident",0,false,false,"","None","DA40",false,true,1,"Piston","","[]","RS",2011
"""2011-01-14T00:00:00.000Z""","USA","Pompano Beach","DIAMOND DA20 A1","N840DF","","","USA","Take-off","Accident",0,false,false,"","None","DA40",false,true,1,"Piston","","[]","RS",2011
"""2011-01-14T00:00:00.000Z""","USA","Alexandria","","N4306P","","","USA","Landing","Accident",0,false,false,"","Serious","CLA",false,true,1,"Piston","","[]","RS",2011
"""2011-01-14T00:00:00.000Z""","CAN","Atlantic Ocean","BOEING 767 300","C-GHLQ","",,"CAN","En route","Accident",0,true,true,true,"Serious","B37M",,true,2,"Jet",true,"[""UNK""]","UNK",2011
"""2011-01-14T00:00:00.000Z""","JAM","Ocho Rios","BELL 206 B","6Y-JCA","","","JAM","Approach","Accident",0,true,false,"","None","XV15",false,true,2,"Turboprop","","[]","RS",2011
"""2011-01-14T00:00:00.000Z""","BRA","Senador Canedo, State of Goiás","BEECH 200","PR-ART","Brazil ",,"BRA","Approach","Accident",6,true,true,false,"Fatal","BE20",false,true,2,"Turboprop","","[""UNK""]","UNK",2011
"""2011-01-15T00:00:00.000Z""","USA","Three Forks","BELL 206","N78BR","","","USA","Landing","Accident",0,false,false,"","None","P39",false,true,1,"Piston","","[]","RS",2011
"""2011-01-15T00:00:00.000Z""","USA","Stuart","SCHWEIZER","N21086","","","USA","Standing","Accident",0,false,false,"","None","G164",false,true,1,"Piston","","[]","RS",2011
"""2011-01-16T00:00:00.000Z""","USA","Clarendon","CESSNA T41","N7262T","","","USA","Approach","Accident",0,false,false,"","Serious","C172",false,true,1,"Piston","","[]","RS",2011
"""2011-01-16T00:00:00.000Z""","","","BEECH 200","C-FSAT","","","CAN","Landing","Accident",0,true,false,"","None","BE20",false,true,2,"Turboprop","","[]","RS",2011
"""2011-01-17T00:00:00.000Z""","PER","Cuzco","BELL 212","OB-1767P","",,"PER","Take-off","Accident",0,true,false,false,"None","B212",true,false,2,"Turboprop","","[""LOC-G""]","RS",2011
"""2011-01-17T00:00:00.000Z""","USA","Charlotte Amalie","CONVAIR 340","N8277Q","Tiger Contract Cargo",,"USA","Take-off","Accident",0,true,true,false,"None","B24",false,true,4,"Piston","","[""RE"",""F-NI""]","RS",2011
"""2011-01-18T00:00:00.000Z""","AUS","St George Aerodrome, 180° M 15","AIR TRACTOR AT301","VH-ODM","","","AUS","Manoeuvring","Accident",0,true,false,"","","AT3P",false,true,1,"Piston","","[""OTHR""]","OTH",2011
"""2011-01-18T00:00:00.000Z""","USA","North Myrtle Beach","CESSNA T41","N2100V","United States ","","USA","Approach","Accident",2,false,false,"","Fatal","C172",false,true,1,"Piston","","[]","LOC-I",2011
"""2011-01-18T00:00:00.000Z""","USA","Aurora","PIPER PA24","N3TP","","","USA","Landing","Accident",0,false,false,"","None","PA47",false,true,1,"Jet","","[]","RS",2011
